会社名,ステータス,キャッチコピー
株式会社アイエスエフネット | ★在宅勤務OK★年休126日★平均残業7.8h★インセンMAX60％,正社員,(入社時)年収750万円⇒864万円にUP実績有【インフラエンジニア】 正社員
株式会社ティーアイピー | 有給取得率100％／完全週休二日(土日休み)／社員寮(無料)あり,正社員,★20代まで限定★スマホの通信を支える【作業スタッフ】[未]歓迎 正社員
株式会社ダイオーズジャパン | 【東証1部上場グループ】★年間休日120日以上★残業ほぼなし,正社員,オフィスを充実させる各種サービスの【提案営業】営業経験者歓迎 正社員
株式会社SEC | ★90％以上が入社時に給与UP！★即日内定、超スピード選考可能！,正社員,照らせ!技術者の未来【施工管理補助】未経験/第二新卒も人柄採用 正社員
DSP株式会社 | 入社半年で月収100万円以上の社員多数/大阪府緊急雇用対策に賛同,正社員,アニメやスポーツ番組の【反響営業】完全週休2日★学歴不問！ 正社員
日研トータルソーシング株式会社 | 【大阪府緊急雇用対策に賛同】◆年休最大160日◆残業ほぼなし,正社員,好きな街で働ける！【軽作業スタッフ】賞与2回☆定着率95％ 正社員
日研トータルソーシング株式会社 | 大阪府緊急雇用対策に賛同　★年休最大160日＋残業ほぼなし,正社員,【マシンオペレーター】★学歴・経験・職歴など一切不問！ 正社員
株式会社修優舘 | あなたの経験と能力を満足のいく給与に変えてみませんか？,正社員,＼2人に1人が年収700万円超／最新CM公開中【講師・教室運営】 正社員
株式会社アイエスエフネット | ★在宅勤務OK★完全週休2日★平均残業7.8h★インセンMAX60％,正社員,月35万～【ITエンジニア】★有給消化81％★年休126日／学歴不問 正社員
ジャパニアス株式会社 | 日本ディープラーニング協会加盟◇残業月20H程◇テレワーク約7割,正社員,AI特化チーム【AIエンジニア】基礎研究/画像解析/自然言語処理 正社員
"サングローブ株式会社 | ★創業7期目で20,000社と直取引★年休130日/土日祝休み/残業ゼロ",正社員,採用コンサル×【インサイドセールス】オフィスで年収1000万可★ 正社員
UTエイム株式会社 | 【超スピード選考】最短当日面談＆当日採用(規定有)！,正社員,【サポートスタッフ(データ管理等)】未経験歓迎※全国募集 正社員
アートバンライン株式会社 | 大手企業と多数取引で業績好調★月8～9日休み★土日休みも可,正社員,【中型(4t)トラックドライバー】面接1回★転勤なし！安定性◎ 正社員
DSP株式会社 | <大阪府緊急雇用対策に賛同>【完全週休2日】【産休育休実績有】,正社員,未経験から始める【メディアプランナー(営業)】★土日祝休み 正社員
"フジイハウス産業株式会社 | 【""三菱地所""や""住友不動産""と取引】大阪府緊急雇用対策に賛同",正社員,【設備管理スタッフ】年間休日120日／残業20h以内／賞与4ヶ月分 正社員
エフエルシープレミアム株式会社 | 【大阪府緊急雇用対策に賛同】東証二部上場企業のグループ！,正社員,【営業系総合職】★未経験8割★早期キャリアUP可能★インセン有 正社員
UTエイム株式会社 | 【東証一部上場グループ】フリーターもOK！大切なのはこれから♪,正社員,月収42万円以上可能！【清掃・洗浄スタッフ】学歴一切不問☆ 正社員
株式会社NEXER | コロナ禍でも安定成長／4拠点同時募集／オープニング募集も！,正社員,スタートアップメンバー募集！Webマーケティングの【提案営業】 正社員
UTエイム株式会社 | 【東証一部上場グループ】文系OK！キャリアチェンジも歓迎します,正社員,未経験歓迎！半導体分野の【技術系総合職(点検・検査・管理等)】 正社員
ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】,正社員,ソフトバンクの【法人営業】社会人経験必須◎販売/接客経験歓迎 正社員
株式会社アイエスエフネット | ★在宅勤務OK★年休126日★平均残業7.8h★インセンMAX60％,正社員,微経験(入社時)から年276万円UP実績有【ITエンジニア】高卒以上 正社員
